iter	R2	RMSE
0	0.03059416746	2.376581915
5	0.1409996047	2.237159063
10	0.2045739919	2.152781474
15	0.2421619197	2.101301697
20	0.2657697459	2.068312812
25	0.2810792573	2.046635571
30	0.2915895797	2.031619939
35	0.2989760437	2.021001016
40	0.3045195796	2.012994669
45	0.3085849018	2.007103289
50	0.3120649617	2.002044777
55	0.3148300378	1.998017487
60	0.3178170024	1.993657771
65	0.3206086348	1.989574386
70	0.3230487028	1.985998916
75	0.3249978024	1.983135826
80	0.3270039886	1.980186355
85	0.3288839944	1.977420559
90	0.3304931219	1.975047976
95	0.3316496262	1.973341358
100	0.3332928616	1.970914023
105	0.3345976443	1.968983938
110	0.3360297332	1.966864357
115	0.3375278717	1.964643952
120	0.3386419921	1.962990461
125	0.3397719468	1.961313834
130	0.3408367257	1.959731891
135	0.3418052924	1.958292489
140	0.3428545763	1.956729829
145	0.3439334036	1.955122835
150	0.344769921	1.953876403
155	0.345820712	1.952308869
160	0.3466625939	1.951052863
165	0.3474740736	1.949839586
170	0.3483573479	1.94851996
175	0.3491323861	1.947361328
180	0.349876017	1.946247643
185	0.3505825732	1.945190548
190	0.3513138788	1.944094123
195	0.3520427927	1.943002532
200	0.35268059	1.942046997
205	0.3533437812	1.941050759
210	0.3540245977	1.940028591
215	0.3546527009	1.939085149
220	0.3553375442	1.938056004
225	0.3558918409	1.93722295
230	0.3565464605	1.936237404
235	0.3570371764	1.935500416
240	0.3576532029	1.93457194
245	0.3581561052	1.933815377
250	0.3586773514	1.933029556
255	0.3592856397	1.932112892
260	0.3597649169	1.9313895
265	0.3603280029	1.930540221
270	0.3607758301	1.929864162
275	0.3612706698	1.929116941
280	0.3618376541	1.928260895
285	0.3623693129	1.927458083
290	0.3629330651	1.926605034
295	0.363407973	1.925887249
300	0.3639817217	1.925018691
305	0.3644785419	1.92426653
310	0.3649960432	1.92348286
315	0.3654328032	1.922821871
320	0.3659421644	1.922049114
325	0.3663295816	1.921461769
330	0.3667796522	1.920779994
335	0.3672594442	1.920052333
340	0.3676873948	1.919402089
345	0.368148546	1.918703153
350	0.3685049359	1.918161701
355	0.3689318276	1.917512248
360	0.3693607263	1.916861415
365	0.3697859562	1.916213979
370	0.3702523851	1.915505548
375	0.3707093794	1.914810382
380	0.3711918347	1.914075531
385	0.3715983436	1.913457984
390	0.372058055	1.912756328
395	0.3724636331	1.912138628
400	0.3728949752	1.911482407
405	0.3733278057	1.910822059
410	0.3737234607	1.910218593
415	0.3741419911	1.909579728
420	0.3746010512	1.908880553
425	0.3750586172	1.908182973
430	0.37538609	1.907681665
435	0.3758889139	1.906913542
440	0.3762836806	1.906310212
445	0.3767148733	1.905652121
450	0.377068271	1.905110599
455	0.3774235812	1.90456748
460	0.3778922662	1.903851349
465	0.3782826301	1.90325344
470	0.3787034202	1.902609004
475	0.3790132404	1.902134286
480	0.3793976277	1.901546911
485	0.3797672579	1.900979311
490	0.3800857543	1.900492209
495	0.38040832	1.899996238
500	0.380787522	1.899415985
505	0.3811759485	1.898819848
510	0.3815930033	1.898179351
515	0.381917833	1.897680639
520	0.3822735365	1.897134015
525	0.3825933409	1.896643925
530	0.3829696841	1.896065544
535	0.383363299	1.895460968
540	0.383715162	1.89491964
545	0.3840918069	1.89434087
550	0.3844078974	1.893854409
555	0.3847498691	1.893328996
560	0.3850902668	1.892805717
565	0.3854638243	1.892229757
570	0.3857588	1.891774905
575	0.386144984	1.891181409
580	0.3865605797	1.890540815
585	0.3868623686	1.890074623
590	0.3871979813	1.889558196
595	0.3875176676	1.889064964
600	0.3878170972	1.888605126
605	0.3881137702	1.888145591
610	0.3884616279	1.887609164
615	0.3887560166	1.887153684
620	0.3891179331	1.886595413
625	0.3894389669	1.886099533
630	0.389743362	1.885628705
635	0.3901025939	1.885075047
640	0.3903774454	1.88464873
645	0.390628687	1.88426161
650	0.390957132	1.883753311
655	0.3912203026	1.88334649
660	0.3915789116	1.88279223
665	0.3919933259	1.882150241
670	0.3923302863	1.881627886
675	0.3926546183	1.881125968
680	0.3929316556	1.880696948
685	0.3932637177	1.880183651
690	0.3935536154	1.879733748
695	0.3938690248	1.879244341
700	0.394185553	1.878753693
705	0.3945758928	1.878148211
710	0.3947938478	1.877808513
715	0.3950911831	1.877349053
720	0.3953805067	1.876900143
725	0.3956780184	1.876437672
730	0.3960510989	1.875859615
735	0.3963923897	1.875329858
740	0.3967104731	1.874835254
745	0.3969867588	1.874405283
750	0.3973787914	1.873796721
755	0.3977204819	1.873265542
760	0.3980635591	1.872730231
765	0.3984273584	1.872165283
770	0.3987319666	1.871690879
775	0.3990071813	1.871263052
780	0.3992916832	1.870819184
785	0.3996048947	1.870331851
790	0.3999014305	1.869869784
795	0.4002470427	1.869332661
800	0.4005835778	1.868806513
805	0.4008872971	1.868333847
810	0.4011571588	1.867913094
815	0.401428584	1.867490564
820	0.4017246721	1.867028075
825	0.4019661127	1.866650404
830	0.4021918149	1.86629852
835	0.4024816412	1.865844779
840	0.4027895476	1.865365262
845	0.4031652941	1.86477767
850	0.4035062994	1.864245816
855	0.4037845369	1.863810243
860	0.4040722539	1.86336102
865	0.4044117056	1.862829534
870	0.4047069228	1.862368275
875	0.4050054637	1.861900719
880	0.4053606246	1.861346117
885	0.4056943406	1.860822913
890	0.4059901258	1.86035982
