iter	Passed	Remaining
0	22	86387
1	35	69227
2	49	64517
3	63	61686
4	76	59505
5	93	60874
6	106	59364
7	120	58502
8	133	57643
9	146	57125
10	163	57665
11	175	56917
12	189	56563
13	201	56004
14	216	55930
15	232	56482
16	245	56101
17	258	55790
18	271	55483
19	284	55177
20	301	55688
21	314	55353
22	327	55130
23	340	55047
24	354	54916
25	372	55421
26	386	55388
27	402	55616
28	415	55435
29	429	55362
30	447	55817
31	460	55643
32	474	55542
33	487	55473
34	502	55468
35	521	55959
36	535	55923
37	550	55900
38	564	55845
39	580	55960
40	599	56401
41	613	56365
42	628	56324
43	642	56271
44	656	56233
45	674	56489
46	688	56443
47	703	56470
48	717	56389
49	731	56286
50	749	56549
51	763	56494
52	777	56425
53	790	56316
54	805	56272
55	822	56452
56	836	56369
57	848	56223
58	861	56085
59	873	55902
60	892	56163
61	904	56004
62	918	55896
63	931	55837
64	945	55773
65	965	56043
66	978	55977
67	992	55889
68	1005	55815
69	1018	55731
70	1036	55861
71	1048	55744
72	1061	55658
73	1075	55578
74	1089	55537
75	1106	55677
76	1119	55588
77	1133	55522
78	1146	55450
79	1160	55381
80	1177	55497
81	1190	55418
82	1203	55328
83	1215	55198
84	1227	55074
85	1245	55200
86	1257	55079
87	1270	55025
88	1282	54917
89	1296	54874
90	1315	55038
91	1329	55004
92	1342	54939
93	1355	54868
94	1372	54938
95	1394	55257
96	1412	55375
97	1430	55475
98	1442	55385
99	1459	55432
100	1477	55557
101	1490	55485
102	1504	55447
103	1517	55387
104	1534	55442
105	1552	55555
106	1567	55546
107	1582	55565
108	1598	55578
109	1615	55642
110	1633	55759
111	1646	55686
112	1660	55647
113	1674	55597
114	1689	55604
115	1708	55708
116	1722	55672
117	1734	55587
118	1748	55538
119	1761	55485
120	1778	55534
121	1792	55494
122	1805	55422
123	1818	55353
124	1830	55272
125	1849	55382
126	1866	55445
127	1882	55449
128	1895	55405
129	1909	55357
130	1926	55426
131	1940	55367
132	1953	55300
133	1968	55303
134	1988	55429
135	2007	55532
136	2021	55514
137	2034	55446
138	2048	55411
139	2062	55367
140	2081	55479
141	2095	55436
142	2109	55402
143	2122	55346
144	2135	55300
145	2154	55384
146	2168	55351
147	2183	55344
148	2200	55392
149	2218	55436
150	2239	55577
151	2253	55551
152	2266	55501
153	2280	55452
154	2293	55409
155	2313	55499
156	2328	55500
157	2344	55518
158	2360	55530
159	2374	55497
160	2392	55543
161	2405	55501
162	2420	55475
163	2434	55454
164	2448	55399
165	2465	55445
166	2479	55414
167	2493	55382
168	2506	55330
169	2520	55294
170	2538	55336
171	2551	55285
172	2565	55245
173	2577	55188
174	2591	55154
175	2609	55194
176	2622	55154
177	2636	55117
178	2649	55065
179	2663	55023
180	2679	55042
181	2692	54998
182	2707	54987
183	2721	54940
184	2734	54889
185	2750	54909
186	2763	54854
187	2776	54804
188	2790	54768
189	2804	54745
190	2822	54797
191	2835	54747
192	2849	54716
193	2863	54685
194	2875	54627
195	2893	54671
196	2906	54621
197	2921	54609
198	2936	54600
199	2950	54577
200	2968	54616
201	2980	54551
202	2994	54524
203	3008	54489
204	3021	54451
205	3039	54491
206	3053	54462
207	3071	54507
208	3088	54534
209	3105	54558
210	3126	54644
211	3142	54646
212	3154	54594
213	3167	54544
214	3181	54514
215	3201	54580
216	3214	54544
217	3228	54514
218	3241	54476
219	3255	54436
220	3273	54486
221	3288	54465
222	3303	54449
223	3315	54401
224	3329	54365
225	3348	54417
226	3363	54405
227	3377	54374
228	3390	54329
229	3404	54310
230	3423	54361
231	3437	54333
232	3451	54299
233	3464	54258
234	3476	54209
235	3494	54239
236	3507	54190
237	3519	54143
238	3533	54110
239	3546	54072
240	3563	54093
241	3577	54062
242	3590	54018
243	3603	53977
244	3616	53935
245	3634	53966
246	3647	53932
247	3661	53905
248	3675	53873
249	3688	53840
250	3706	53862
251	3718	53822
252	3731	53777
253	3745	53743
254	3758	53706
255	3774	53717
256	3789	53703
257	3803	53679
